pub_id,doi,pub_year,journal_title,subfield,original_n,original_p,original_p_exact,raw_stats
1008499407,10.1037/abn0000044,2015,Journal of Abnormal Psychology,clinical,236,0.01,no,"R 2 = .05, <U+03C7> 2 = 6.17, OR = 1.52 [1.11, 2.10], p < .01."
1050905761,10.1037/a0014654,2009,Journal of Abnormal Psychology,clinical,371,0.020245,yes,"F (2, 87) = 4.08, p = .02, <U+03B7>p 2 =.09."
1024946734,10.1111/1467-9280.24411,2003,Psychological Science,clinical,24,0.029707,yes,"F (3, 66) = 3.177, p = .03,"
1002986598,10.1037/a0019190,2010,Journal of Abnormal Psychology,clinical,1337,0.0017155,yes,".15**, .08** p <0.01"
1053151543,10.1037/0021-843x.114.4.729,2005,Journal of Abnormal Psychology,clinical,122,0.007662,yes,"B = -.72, SE = .27, hazard ratio (HR) = .49, p < .01,"
1111783670,10.1037/abn0000407,2019,Journal of Abnormal Psychology,clinical,122,0.001655,yes,"F (1, 118) = 10.37, p = .002, <U+03B7><U+03C1> 2 = .08"
1017302677,10.1037/0021-843x.116.4.667,2007,Journal of Abnormal Psychology,clinical,1368,0.000113,yes,"be = 1.66, se = 0.43"
1037574568,10.1037/a0018118,2010,Journal of Abnormal Psychology,clinical,139,0.000534,yes,"( r = -.29, p = .05),"
1049063354,10.1037/0021-843x.109.1.69,2000,Journal of Abnormal Psychology,clinical,157,0.001,no,<0.001
1052381027,10.1037/0021-843x.109.3.534,2000,Journal of Abnormal Psychology,clinical,127,0,yes,"F (1, 118) = 37.97, p < .0001, and delay, F (1, 118) = 112.89, p < .0001,"
1027744442,10.1037/0021-843x.115.1.157,2006,Journal of Abnormal Psychology,clinical,171,0.0122365,yes,"t (170) = 6.08, p < .01, t (170) = 2.27, p = .02."
1050749987,10.1037/a0016948,2009,Journal of Abnormal Psychology,clinical,30,0.002,yes,"t00 (2) = .69, SE = 0.22, p = .002)."
1019806601,10.1037/a0035812,2014,Journal of Abnormal Psychology,clinical,60,0.008146,yes,"[F(2, 57) = 5.24, p = .008]"
1042177128,10.1037/0021-843x.113.2.324,2004,Journal of Abnormal Psychology,clinical,50,0.02283,yes,"<U+0394> R 2 =.12, t [39] = -2.37, p =.02)."
1083865069,10.1177/0956797616687364,2017,Psychological Science,clinical,28.5,0,yes,"F (3, 46) = 14.7, p < .0001, <U+03B7> 2 = .489."
1034637764,10.1037/a0037229,2014,Journal of Abnormal Psychology,clinical,151.6666667,2.10E-05,yes,"(<U+03B3> = 41.27, t = 4.32, p < .001, d = .52), n = 318"
1013838574,10.1037/a0025295,2011,Journal of Abnormal Psychology,clinical,575,0.0030075,yes,"t (2335) = 7.66, p < .001 and low, t (2335) = 2.75, p < .001"
1046702348,10.1037/abn0000186,2016,Journal of Abnormal Psychology,clinical,96,0.008,yes,"drinking problems: B = 0.08, t = 2.77, p = .007; drinking days: B = 0.04, t = 2.80, p = .006; HED: B = 0.05, t = 2.59, p = .01; n =  48"
1030058631,10.1037/a0036926,2014,Journal of Abnormal Psychology,clinical,274,0.001,no,p < .001
1015029206,10.1037/0021-843x.114.3.373,2005,Journal of Abnormal Psychology,clinical,100,0.031256,yes,"ß = -0.28, robust standard error = 0.13, t = -2.20, p =.03,"
1015057326,10.1037/abn0000088,2015,Journal of Abnormal Psychology,clinical,289,0.002863,yes,Major Interpersonal SLE B = 1.033 SE = .205 P .000 Major Non-Interpersonal SLE B .735 SE .266 P 006
1000905329,10.1037/a0033992,2013,Journal of Abnormal Psychology,clinical,78,0.008308,yes,"F (2, 75) = 5.11, p < .008, <U+03B7>p 2 = .12"
1047513402,10.1037/0021-843x.113.1.166,2004,Journal of Abnormal Psychology,clinical,2217,NA,NA,original null
1029298967,10.1037/a0017207,2009,Journal of Abnormal Psychology,clinical,656,0.0004645,yes,"z = 3.33, 4.01 d = z/sqrt(n) d = 0.3951983, 0.2616295"
1017114296,10.1111/1467-9280.03452,2003,Psychological Science,clinical,2.5,NA,NA,"r = .557, .553, .704, unclear"
1041412357,10.1037/0021-843x.110.3.413,2001,Journal of Abnormal Psychology,clinical,1588,NA,NA,no inferential statistics
1020427459,10.1037/abn0000061,2015,Journal of Abnormal Psychology,clinical,645,0,yes,"lcohol expectancies ( b = 2.60; SE = 0.45; p < .001) and ZKPQ-measured sociability ( b = 1.51; SE = 0.42; p < .001),"
1052616960,10.1037/0021-843x.113.2.198,2004,Journal of Abnormal Psychology,clinical,2600,NA,NA,unclear
1019950237,10.1037/a0028141,2012,Journal of Abnormal Psychology,clinical,89,0.012217,yes,"[ß= .42, t(70)=2.54 p<.05] and [ß=. Unique Effect 59, t(68)=2.61, p<.05]"
1117657895,10.1037/abn0000433,2019,Journal of Abnormal Psychology,clinical,1121.5,0.004209333,yes,beta 0.163 SE 0.057 CI 0.051 – 0.275 p = 0.004; 0.228 0.062 0.106 – 0.350 0.000; 0.127 0.048 0.033 – 0.221 0.008
1021997788,10.1037/a0022126,2011,Journal of Abnormal Psychology,clinical,42977.5,NA,NA,descriptive
1085370549,10.1037/abn0000273,2017,Journal of Abnormal Psychology,clinical,45,0.000634,yes,"r = .49, p < .001)."
1008383054,10.1037/a0031919,2013,Journal of Abnormal Psychology,clinical,561,0.001,no,"(<U+03C7> 2 = 59.37, p < .001)."
1107499933,10.1037/abn0000381,2018,Journal of Abnormal Psychology,clinical,74,0,yes,"<U+03C7> 2 (9) = 1971.60, p = .001."
1050901214,10.1037/0021-843x.114.3.331,2005,Journal of Abnormal Psychology,clinical,206,0.002224,yes,"<U+03C7> 2 (3, N = 199) = 14.57, p = .002."
