"pub_id","doi","pub_year","replicated_study","replication_source","journal_title","replicated_binary","subfield","experiment","school_prestige_1st","school_prestige_senior","media_attention"
1020823647,"10.1037/0022-3514.49.6.1621",1985,"0","hku","Journal of Personality and Social Psychology","yes","social","no",1,1,1
1042169338,"10.1037/0096-1523.3.4.544",1977,"1","hku","Journal of Experimental Psychology Human Perception & Performance","yes","social","yes",6,6,0
1033765264,"10.1037/0096-1523.1.3.288",1975,"2","hku","Journal of Experimental Psychology Human Perception & Performance","yes","social","yes",6,6,6
1008082115,"10.1016/0001-6918(81)90005-6",1981,"0","hku","Acta Psychologica","yes","social","yes",2,2,11
1053549381,"10.1037/0022-3514.54.4.569",1988,"1","hku","Journal of Personality and Social Psychology","yes","social","yes",1,NA,1
1013145435,"10.1037/0022-3514.88.5.725",2005,"2","hku","Journal of Personality and Social Psychology","yes","social","no",1,1,0
1032622145,"10.1007/bf00055564",1988,"1","hku","Journal of Risk and Uncertainty","yes","social","yes",2,1,9
1050747473,"10.1073/pnas.1012046108",2010,"1","hku","Proceedings of the National Academy of Sciences of the United States of America","yes","social","yes",NA,NA,1
1042990261,"10.1177/0146167202286008",2002,"1, 2","hku","Personality and Social Psychology Bulletin","yes","social","no",1,1,23
1046113518,"10.1002/(sici)1099-0771(200001/03)13:1<107::aid-bdm349>3.0.co;2-p",2000,"2","hku","Journal of Behavioral Decision Making","yes","social","yes",2,1,0
1026348820,"10.1016/0022-1031(91)90011-t",1991,"1, 2","hku","Journal of Experimental Social Psychology","yes","social","yes",1,1,0
1037437854,"10.1037/0022-3514.39.5.806",1980,"1","hku","Journal of Personality and Social Psychology","yes","social","no",6,6,8
1041691330,"10.1037/0022-3514.86.5.680",2004,"1","hku","Journal of Personality and Social Psychology","yes","social","yes",1,1,0
1041691330,"10.1037/0022-3514.86.5.680",2004,"2","hku","Journal of Personality and Social Psychology","no","social","yes",1,1,0
1046104250,"10.1016/j.cognition.2008.02.005",2008,"1","hku","Cognition","yes","social","yes",1,3,0
1037911145,"10.1037/0022-3514.62.2.328",1992,"1, 2","hku","Journal of Personality and Social Psychology","yes","social","yes",3,3,0
1062449112,"10.1126/science.1091721",2003,"1","hku","Science","yes","social","yes",1,1,20
1001461931,"10.1111/j.1467-9280.2006.01704.x",2006,"1b","hku","Psychological Science","no","social","yes",1,1,0
1045357588,"10.1111/j.1467-9280.2008.02159.x",2008,"1, 4","hku","Psychological Science","no","social","yes",1,3,0
1050544474,"10.1016/s0749-5978(02)00013-4",2002,"1","hku","Organizational Behavior and Human Decision Processes","no","organizational","yes",4,4,0
1047674867,"10.1006/obhd.2000.2900",2000,"1","hku","Organizational Behavior and Human Decision Processes","no","organizational","yes",1,1,0
1034122857,"10.1016/0749-5978(85)90049-4",1985,"1, 3","hku","Organizational Behavior and Human Decision Processes","yes","organizational","yes",6,6,12
1023083515,"10.1016/j.jesp.2006.05.011",2007,"1, 1a","hku","Journal of Experimental Social Psychology","yes","social","yes",1,1,3
1012027057,"10.1037/0096-3445.126.1.45",1997,"1","hku","Journal of Experimental Psychology General","yes","social","yes",NA,2,0
1000493792,"10.1006/jesp.1996.0010",1996,"3","hku","Journal of Experimental Social Psychology","yes","social","yes",1,3,0
1031888429,"10.1037/0096-1523.3.4.552",1977,"2","hku","Journal of Experimental Psychology Human Perception & Performance","yes","social","yes",6,6,1
1032932656,"10.1037/0022-3514.81.4.639",2001,"1, 3","hku","Journal of Personality and Social Psychology","yes","social","partially yes and partially no",1,1,0
1014958315,"10.1037/0022-3514.74.1.53",1998,"1, 4","hku","Journal of Personality and Social Psychology","yes","social","yes",1,1,0
