paper_id,target_filename,corpus,action,year,journal,authors,title,doi,doi_url,oa_url,ezproxy_url,best_url,libkey_url,libkey_direct,in_holdings,retracted
p0148,p0148.pdf,both,PULL (institutional),2008.0,Journal of Experimental Psychology Learning Memory and Cognition,"Nicholas B. Turk‐Browne, Phillip Isola, Brian J. Scholl et al.",Multidimensional visual statistical learning.,10.1037/0278-7393.34.2.399,https://doi.org/10.1037/0278-7393.34.2.399,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.2.399,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.2.399,https://libkey.io/libraries/1781/10.1037/0278-7393.34.2.399,https://libkey.io/libraries/1781/articles/41289120/full-text-file,True,False
p0149,p0149.pdf,both,"AUTO (open-access, skip)",2008.0,Journal of Experimental Psychology Learning Memory and Cognition,"Lili Sahakyan, Peter F. Delaney, Emily R. Waldum","Intentional forgetting is easier after two ""shots"" than one.",10.1037/0278-7393.34.2.408,https://doi.org/10.1037/0278-7393.34.2.408,http://libres.uncg.edu/ir/uncg/f/P_Delaney_Intentional_2008(MULTI UNCG AUTHORS).pdf,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.2.408,http://libres.uncg.edu/ir/uncg/f/P_Delaney_Intentional_2008(MULTI UNCG AUTHORS).pdf,https://libkey.io/libraries/1781/10.1037/0278-7393.34.2.408,https://libkey.io/libraries/1781/articles/41289123/full-text-file,True,False
p0150,p0150.pdf,both,PULL (institutional),2008.0,Journal of Experimental Psychology Learning Memory and Cognition,"Dana Ganor-Stern, Joseph Tzelgov",Across-notation automatic numerical processing.,10.1037/0278-7393.34.2.430,https://doi.org/10.1037/0278-7393.34.2.430,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.2.430,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.2.430,https://libkey.io/libraries/1781/10.1037/0278-7393.34.2.430,https://libkey.io/libraries/1781/articles/41289133/full-text-file,True,False
p0151,p0151.pdf,both,PULL (institutional),2008.0,Journal of Experimental Psychology Learning Memory and Cognition,Klaus Oberauer,How to say no: Single- and dual-process theories of short-term recognition tested on negative probes.,10.1037/0278-7393.34.3.439,https://doi.org/10.1037/0278-7393.34.3.439,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.439,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.439,https://libkey.io/libraries/1781/10.1037/0278-7393.34.3.439,https://libkey.io/libraries/1781/articles/41289104/full-text-file,True,False
p0152,p0152.pdf,both,PULL (institutional),2008.0,Journal of Experimental Psychology Learning Memory and Cognition,"Chad S. Dodson, James Darragh, Allison Williams",Stereotypes and retrieval-provoked illusory source recollections.,10.1037/0278-7393.34.3.460,https://doi.org/10.1037/0278-7393.34.3.460,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.460,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.460,https://libkey.io/libraries/1781/10.1037/0278-7393.34.3.460,https://libkey.io/libraries/1781/articles/41289107/full-text-file,True,False
p0153,p0153.pdf,both,PULL (institutional),2008.0,Journal of Experimental Psychology Learning Memory and Cognition,"Baptist Liefooghe, Pierre Barrouillet, André Vandierendonck et al.",Working memory costs of task switching.,10.1037/0278-7393.34.3.478,https://doi.org/10.1037/0278-7393.34.3.478,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.478,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.478,https://libkey.io/libraries/1781/10.1037/0278-7393.34.3.478,,,
p0154,p0154.pdf,both,PULL (institutional),2008.0,Journal of Experimental Psychology Learning Memory and Cognition,"Melvin J. Yap, David A. Balota, Chi‐Shing Tse et al.",On the additive effects of stimulus quality and word frequency in lexical decision: Evidence for opposing interactive influences revealed by RT distributional analyses.,10.1037/0278-7393.34.3.495,https://doi.org/10.1037/0278-7393.34.3.495,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.495,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.495,https://libkey.io/libraries/1781/10.1037/0278-7393.34.3.495,https://libkey.io/libraries/1781/articles/41289113/full-text-file,True,False
p0155,p0155.pdf,both,"AUTO (open-access, skip)",2008.0,Journal of Experimental Psychology Learning Memory and Cognition,"James R. Schmidt, Derek Besner",The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.,10.1037/0278-7393.34.3.514,https://doi.org/10.1037/0278-7393.34.3.514,https://biblio.ugent.be/publication/3108480/file/3108484.pdf,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.514,https://biblio.ugent.be/publication/3108480/file/3108484.pdf,https://libkey.io/libraries/1781/10.1037/0278-7393.34.3.514,,,
p0156,p0156.pdf,both,PULL (institutional),2008.0,Journal of Experimental Psychology Learning Memory and Cognition,"Mathieu Couture, Daniel Lafond, Sébastien Tremblay",Learning correct responses and errors in the Hebb repetition effect: Two faces of the same coin.,10.1037/0278-7393.34.3.524,https://doi.org/10.1037/0278-7393.34.3.524,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.524,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.524,https://libkey.io/libraries/1781/10.1037/0278-7393.34.3.524,https://libkey.io/libraries/1781/articles/41289118/full-text-file,True,False
p0157,p0157.pdf,both,PULL (institutional),2008.0,Journal of Experimental Psychology Learning Memory and Cognition,"Jamie I. D. Campbell, Nicole D. Robert",Bidirectional associations in multiplication memory: Conditions of negative and positive transfer.,10.1037/0278-7393.34.3.546,https://doi.org/10.1037/0278-7393.34.3.546,,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.546,https://kuleuven.e-bronnen.be/login?url=https://doi.org/10.1037/0278-7393.34.3.546,https://libkey.io/libraries/1781/10.1037/0278-7393.34.3.546,https://libkey.io/libraries/1781/articles/41289124/full-text-file,True,False
