doi,ref_spread,nearest_cited_prior
10.1017/xps.2017.21,0.65612644,0.13607025
10.1027/1864-9335/a000147,0.7551562,0.2692868
10.1037/0021-843x.115.4.798,0.5669382,0.2481358
10.1037/0021-9010.77.4.419,0.7363717,0.3084085
10.1037/0021-9010.85.5.751,0.6508139,0.25596976
10.1037/0022-3514.67.3.357,0.6878403,0.27394015
10.1037/0022-3514.67.4.627,0.68056554,0.27514392
10.1037/0022-3514.73.4.733,0.7205612,0.4023831
10.1037/0022-3514.74.3.774,0.72121054,0.35675246
10.1037/0022-3514.77.4.785,0.69920605,0.47369236
10.1037/0022-3514.80.6.995,0.7236858,0.47699046
10.1037/0022-3514.83.1.138,0.6660561,0.1619246
10.1037/0022-3514.83.1.44,0.66457665,0.32192963
10.1037/0022-3514.83.5.1165,0.6496819,0.3485415
10.1037/0022-3514.83.5.1239,0.63606495,0.3036431
10.1037/0022-3514.84.2.411,0.58153737,0.20745373
10.1037/0022-3514.84.4.871,0.75926554,0.3283928
10.1037/0022-3514.90.4.543,0.68904275,0.50362086
10.1037/0022-3514.94.1.1,0.6794483,0.2666939
10.1037/0022-3514.94.1.116,0.7128328,0.3657452
10.1037/0022-3514.94.1.158,0.6555221,0.40785748
10.1037/0022-3514.94.1.16,0.63433343,0.20818055
10.1037/0022-3514.94.1.48,0.6862504,0.40549064
10.1037/0022-3514.94.1.91,0.6408553,0.31531775
10.1037/0022-3514.94.2.245,0.695638,0.23999017
10.1037/0022-3514.94.2.94.2.196,0.62293655,0.3536858
10.1037/0022-3514.94.3.382,0.6604289,0.31614953
10.1037/0022-3514.94.3.396,0.64638215,0.33134806
10.1037/0022-3514.94.3.429,0.6784561,0.3559217
10.1037/0022-3514.94.3.495,0.6419045,0.29498595
10.1037/0022-3514.94.3.516,0.67130053,0.3209486
10.1037/0022-3514.94.4.560,0.67549497,0.3638478
10.1037/0022-3514.94.4.579,0.71055067,0.27279568
10.1037/0022-3514.94.4.600,0.62802315,0.2000773
10.1037/0022-3514.94.4.615,0.7265277,0.21467304
10.1037/0022-3514.94.4.647,0.67595786,0.32448965
10.1037/0022-3514.94.4.672,0.7168932,0.2839445
10.1037/0022-3514.94.4.696,0.68310183,0.19398528
10.1037/0022-3514.94.4.718,0.6396901,0.35728836
10.1037/0022-3514.94.5.871,0.6612353,0.25433785
10.1037/0022-3514.95.1.76,0.6754316,0.4522006
10.1037/0022-3514.95.2.274,0.6559231,0.23456734
10.1037/0022-3514.95.2.293,0.76202303,0.3828234
10.1037/0022-3514.95.2.420,0.6856386,0.3735317
10.1037/0033-2909.118.1.3,0.623853,0.20802927
10.1037/0033-2909.124.2.197,0.660236,0.18023264
10.1037/0033-2909.129.6.914,0.7023046,0.24353087
10.1037/0033-295x.93.2.136,0.797965,0.4600402
10.1037/0096-1523.3.4.544,0.85310537,0.394656
10.1037/0096-3445.133.1.23,0.73449576,0.38618952
10.1037/0096-3445.135.4.641,0.6802088,0.3712108
10.1037/0096-3445.136.2.241,0.66100293,0.2709098
10.1037/0096-3445.136.2.289,0.6907979,0.41464412
10.1037/0096-3445.136.4.569,0.7060892,0.4004963
10.1037/0278-7393.34.1.128,0.60750854,0.188874
10.1037/0278-7393.34.1.146,0.6274578,0.21412021
10.1037/0278-7393.34.1.167,0.75826734,0.21413147
10.1037/0278-7393.34.1.219,0.67855084,0.31021625
10.1037/0278-7393.34.1.237,0.5682169,0.41256893
10.1037/0278-7393.34.1.243,0.57819474,0.21102732
10.1037/0278-7393.34.1.249,0.59816647,0.23030692
10.1037/0278-7393.34.1.50,0.65238327,0.34706062
10.1037/0278-7393.34.1.80,0.65231305,0.2902431
10.1037/0278-7393.34.1.97,0.63074017,0.25457406
10.1037/0278-7393.34.2.302,0.6965129,0.29765892
10.1037/0278-7393.34.2.343,0.7044968,0.3503729
10.1037/0278-7393.34.2.353,0.63691354,0.27333355
10.1037/0278-7393.34.2.369,0.5992005,0.35339618
10.1037/0278-7393.34.2.399,0.6413318,0.40009546
10.1037/0278-7393.34.2.408,0.5210324,0.21780467
10.1037/0278-7393.34.2.430,0.6242841,0.31799698
10.1037/0278-7393.34.3.460,0.6522433,0.37348247
10.1037/0278-7393.34.3.478,0.5990146,0.22997701
10.1037/0278-7393.34.3.495,0.7142155,0.28518903
10.1037/0278-7393.34.3.514,0.63241386,0.52723885
10.1037/0278-7393.34.3.524,0.7025082,0.29850256
10.1037/0278-7393.34.3.546,0.58126307,0.575922
10.1037/a0012833,0.71956944,0.3486761
10.1037/a0015960,0.6576657,0.34634006
10.1037/a0016795,0.69842094,0.39280057
10.1037/a0018983,0.72793716,0.33663142
10.1037/a0019006,0.6366575,0.3131008
10.1037/a0019337,0.5659268,0.25289404
10.1037/a0019689,0.75894964,0.26444936
10.1037/a0020092,0.74281514,0.3924296
10.1037/a0020757,0.74855113,0.42105865
10.1037/a0021524,0.7912169,0.45633185
10.1037/a0023527,0.75123763,0.23795503
10.1037/a0025035,0.6632289,0.338382
10.1037/a0025345,0.75350046,0.36410648
10.1037/a0025883,0.7373391,0.29980218
10.1037/a0027407,0.7368287,0.2653743
10.1037/a0027598,0.7890478,0.3300097
10.1037/a0028216,0.586797,0.37972808
10.1037/a0028964,0.6353913,0.26890993
10.1037/a0029288,0.7241208,0.45115268
10.1037/a0029649,0.6005409,0.35904032
10.1037/a0031047,0.7500183,0.36364174
10.1037/a0032108,0.73404115,0.47213006
10.1037/a0034352,0.6810064,0.25376284
10.1037/a0034462,0.7430859,0.32611352
10.1037/a0036477,0.76561993,0.4637025
10.1037/a0038647,0.6848426,0.3541203
10.1037/a0039737,0.6941269,0.27142537
10.1037/apl0000082,0.7169585,0.30660367
10.1037/ebs0000028,0.76675063,0.32666963
10.1037/h0076284,0.7030431,0.34253532
10.1037/h0091247,0.61768305,0.38571274
10.1037/pspa0000032,0.7175731,0.44669396
10.1037/pspa0000093,0.77120453,0.4462217
10.1037/pspi0000121,0.77093786,0.40303993
